linear_estimate,date
16.329367,22apr2011
16.348202,23apr2011
16.365744,24apr2011
16.38199,25apr2011
16.396954,26apr2011
16.410622,27apr2011
16.423006,28apr2011
16.434103,29apr2011
16.443916,30apr2011
16.45245,01may2011
16.4597,02may2011
16.465679,03may2011
16.470383,04may2011
16.473822,05may2011
16.475986,06may2011
16.476898,07may2011
16.476549,08may2011
16.474949,09may2011
16.472101,10may2011
16.468018,11may2011
16.462694,12may2011
16.456142,13may2011
16.448372,14may2011
16.439377,15may2011
16.429178,16may2011
16.417776,17may2011
16.405176,18may2011
16.391392,19may2011
16.376427,20may2011
16.360289,21may2011
16.342987,22may2011
16.324537,23may2011
16.304935,24may2011
16.284203,25may2011
16.262344,26may2011
16.239359,27may2011
16.215277,28may2011
16.190088,29may2011
16.163816,30may2011
16.136473,31may2011
16.108057,01jun2011
16.078585,02jun2011
16.048069,03jun2011
16.01652,04jun2011
15.983949,05jun2011
15.950372,06jun2011
15.915792,07jun2011
15.880223,08jun2011
15.843679,09jun2011
15.806176,10jun2011
15.76772,11jun2011
15.728327,12jun2011
15.688004,13jun2011
15.646772,14jun2011
15.604637,15jun2011
15.561614,16jun2011
15.517718,17jun2011
15.47296,18jun2011
15.427354,19jun2011
15.380918,20jun2011
15.333648,21jun2011
15.28558,22jun2011
15.236711,23jun2011
15.187063,24jun2011
15.136646,25jun2011
15.085481,26jun2011
15.033569,27jun2011
14.980933,28jun2011
14.927585,29jun2011
14.873536,30jun2011
14.818803,01jul2011
14.763399,02jul2011
14.707339,03jul2011
14.650633,04jul2011
14.5933,05jul2011
14.535352,06jul2011
14.4768,07jul2011
14.417665,08jul2011
14.357957,09jul2011
14.297685,10jul2011
14.236871,11jul2011
14.175526,12jul2011
14.11366,13jul2011
14.051294,14jul2011
13.988434,15jul2011
13.925103,16jul2011
13.861307,17jul2011
13.797062,18jul2011
13.732382,19jul2011
13.667282,20jul2011
13.601773,21jul2011
13.535869,22jul2011
13.469586,23jul2011
13.402936,24jul2011
13.335928,25jul2011
13.268581,26jul2011
13.200907,27jul2011
13.132917,28jul2011
13.064628,29jul2011
12.996048,30jul2011
12.92719,31jul2011
12.858071,01aug2011
12.788698,02aug2011
12.719089,03aug2011
12.649253,04aug2011
